temperatureEau,temperature,humidity,date
21.5,22,59,2013-11-02 06:40:49
21.5,22,60,2013-11-02 06:41:49
21.5,22,59,2013-11-02 06:42:50
21.5,22,59,2013-11-02 06:43:51
21.5,22,60,2013-11-02 06:44:52
21.5,22,60,2013-11-02 06:45:53
21.5,22,60,2013-11-02 06:46:54
21.5,22,60,2013-11-02 06:47:55
21.5,22,59,2013-11-02 06:48:56
21.5,22,59,2013-11-02 06:49:57
21.5,22,59,2013-11-02 06:50:57
21.5,22,60,2013-11-02 06:51:58
21.5,22,59,2013-11-02 06:52:59
21.5,22,60,2013-11-02 06:54:00
21.5,22,60,2013-11-02 06:55:01
21.5,22,59,2013-11-02 06:56:02
21.5,22,60,2013-11-02 06:57:03
21.5,22,60,2013-11-02 06:58:04
21.5625,22,59,2013-11-02 06:59:05
21.5,22,60,2013-11-02 07:00:06
21.5,22,59,2013-11-02 07:01:06
21.5,22,59,2013-11-02 07:02:07
21.5,22,60,2013-11-02 07:03:08
21.5,22,59,2013-11-02 07:04:09
21.5,22,60,2013-11-02 07:05:10
21.5,22,60,2013-11-02 07:06:11
21.5,22,59,2013-11-02 07:07:12
21.5625,22,60,2013-11-02 07:08:13
21.5625,22,60,2013-11-02 07:09:14
21.5,22,59,2013-11-02 07:10:15
21.5,22,60,2013-11-02 07:11:15
21.5625,22,60,2013-11-02 07:12:16
21.5,22,60,2013-11-02 07:13:17
21.5625,23,59,2013-11-02 07:14:18
21.5,22,60,2013-11-02 07:15:19
21.5,22,59,2013-11-02 07:16:20
21.5625,22,59,2013-11-02 07:17:21
21.5625,22,59,2013-11-02 07:18:22
21.5625,22,59,2013-11-02 07:19:23
21.5625,22,60,2013-11-02 07:20:23
21.5625,22,60,2013-11-02 07:21:24
21.5625,22,60,2013-11-02 07:22:25
21.5625,22,60,2013-11-02 07:23:26
21.5625,22,60,2013-11-02 07:24:27
21.5625,22,60,2013-11-02 07:25:28
21.5625,22,59,2013-11-02 07:26:29
21.5625,22,59,2013-11-02 07:27:30
21.5625,22,59,2013-11-02 07:28:31
21.5625,22,60,2013-11-02 07:29:32
21.5625,22,59,2013-11-02 07:30:32
21.5625,22,60,2013-11-02 07:31:33
21.5625,22,60,2013-11-02 07:32:34
21.5625,22,60,2013-11-02 07:33:35
21.5625,22,60,2013-11-02 07:34:36
21.5625,22,59,2013-11-02 07:35:37
21.5625,22,59,2013-11-02 07:36:38
21.5625,22,59,2013-11-02 07:37:39
21.5625,22,59,2013-11-02 07:38:40
21.5625,22,59,2013-11-02 07:39:41
21.5625,22,59,2013-11-02 07:40:41
21.5625,22,60,2013-11-02 07:41:42
21.5625,22,60,2013-11-02 07:42:43
21.5625,22,60,2013-11-02 07:43:44
21.5625,22,60,2013-11-02 07:44:45
21.5625,22,60,2013-11-02 07:45:46
21.5625,22,59,2013-11-02 07:46:47
21.5625,22,59,2013-11-02 07:47:48
21.5625,22,59,2013-11-02 07:48:49
21.5625,22,60,2013-11-02 07:49:49
21.5625,22,60,2013-11-02 07:50:50
21.5625,22,60,2013-11-02 07:51:51
21.5625,22,60,2013-11-02 07:52:52
21.5625,22,60,2013-11-02 07:53:53
21.5625,22,59,2013-11-02 07:54:54
21.5625,22,59,2013-11-02 07:55:55
21.625,22,59,2013-11-02 07:56:56
21.5625,22,59,2013-11-02 07:57:57
21.5625,22,59,2013-11-02 07:58:58
21.5625,22,59,2013-11-02 07:59:58
21.625,22,59,2013-11-02 08:00:59
21.5625,22,60,2013-11-02 08:02:00
21.625,22,60,2013-11-02 08:03:01
21.5625,22,60,2013-11-02 08:04:02
21.5625,22,60,2013-11-02 08:05:03
21.5625,22,59,2013-11-02 08:06:04
21.625,22,59,2013-11-02 08:07:05
21.5625,22,59,2013-11-02 08:08:06
21.5625,22,59,2013-11-02 08:09:07
21.5625,22,60,2013-11-02 08:10:07
21.5625,22,59,2013-11-02 08:11:08
21.5625,22,60,2013-11-02 08:12:09
21.625,22,60,2013-11-02 08:13:10
21.5625,22,60,2013-11-02 08:14:11
21.625,22,60,2013-11-02 08:15:12
21.5625,22,59,2013-11-02 08:16:13
21.625,22,59,2013-11-02 08:17:14
21.5625,22,59,2013-11-02 08:18:15
21.625,22,59,2013-11-02 08:19:15
21.625,22,59,2013-11-02 08:20:16
21.625,22,60,2013-11-02 08:21:17
21.625,22,60,2013-11-02 08:22:18
21.625,22,60,2013-11-02 08:23:19
21.625,22,60,2013-11-02 08:24:20
21.625,22,60,2013-11-02 08:25:21
21.625,22,60,2013-11-02 08:26:22
21.625,22,59,2013-11-02 08:27:23
21.625,22,59,2013-11-02 08:28:24
21.625,22,59,2013-11-02 08:29:24
21.625,22,59,2013-11-02 08:30:25
21.625,22,60,2013-11-02 08:31:26
21.625,22,60,2013-11-02 08:32:27
21.625,22,60,2013-11-02 08:33:28
21.625,22,60,2013-11-02 08:34:29
21.625,22,60,2013-11-02 08:35:30
21.625,22,60,2013-11-02 08:36:31
21.625,23,59,2013-11-02 08:37:32
21.625,22,59,2013-11-02 08:38:32
21.625,22,60,2013-11-02 08:39:33
21.6875,22,59,2013-11-02 08:40:34
21.6875,22,59,2013-11-02 08:41:35
21.625,22,60,2013-11-02 08:42:36
21.625,23,58,2013-11-02 08:43:37
21.625,22,61,2013-11-02 08:44:38
21.6875,22,60,2013-11-02 08:45:39
21.6875,22,60,2013-11-02 08:46:40
21.6875,22,60,2013-11-02 08:47:41
21.6875,22,60,2013-11-02 08:48:41
21.6875,22,60,2013-11-02 08:49:42
21.6875,22,61,2013-11-02 08:50:43
21.6875,22,59,2013-11-02 08:51:44
21.6875,22,59,2013-11-02 08:52:45
21.6875,23,58,2013-11-02 08:53:46
21.6875,22,59,2013-11-02 08:54:47
21.6875,22,59,2013-11-02 08:55:48
21.6875,22,60,2013-11-02 08:56:49
21.6875,22,59,2013-11-02 08:57:50
21.6875,23,58,2013-11-02 08:58:50
21.6875,22,60,2013-11-02 08:59:51
21.6875,22,60,2013-11-02 09:00:52
21.6875,22,60,2013-11-02 09:01:53
21.6875,22,60,2013-11-02 09:02:54
21.75,22,60,2013-11-02 09:03:55
21.75,22,59,2013-11-02 09:04:56
21.75,22,59,2013-11-02 09:05:57
21.75,22,59,2013-11-02 09:06:58
21.75,23,58,2013-11-02 09:07:58
21.75,22,59,2013-11-02 09:08:59
21.75,22,60,2013-11-02 09:10:00
21.75,22,59,2013-11-02 09:11:01
21.75,22,60,2013-11-02 09:12:02
21.75,22,60,2013-11-02 09:13:03
21.75,22,60,2013-11-02 09:14:04
21.75,22,60,2013-11-02 09:15:05
21.75,22,60,2013-11-02 09:16:06
21.75,22,60,2013-11-02 09:17:07
21.75,23,58,2013-11-02 09:18:07
21.75,22,59,2013-11-02 09:19:08
21.75,22,59,2013-11-02 09:20:09
21.75,23,58,2013-11-02 09:21:10
21.75,22,59,2013-11-02 09:22:11
21.75,22,59,2013-11-02 09:23:12
21.75,22,59,2013-11-02 09:24:13
21.75,22,60,2013-11-02 09:25:14
21.8125,22,59,2013-11-02 09:26:15
21.8125,22,60,2013-11-02 09:27:15
21.8125,22,60,2013-11-02 09:28:16
21.8125,23,59,2013-11-02 09:29:17
21.75,22,60,2013-11-02 09:30:18
21.8125,22,60,2013-11-02 09:31:19
21.8125,22,60,2013-11-02 09:32:20
21.75,22,60,2013-11-02 09:33:21
21.8125,22,60,2013-11-02 09:34:22
21.8125,22,59,2013-11-02 09:35:23
21.9375,23,58,2013-11-02 09:42:39
21.9375,23,60,2013-11-02 09:43:39
21.9375,23,58,2013-11-02 09:44:40
21.9375,23,58,2013-11-02 09:45:41
21.9375,23,59,2013-11-02 09:46:42
22,23,58,2013-11-02 09:47:43
22,23,59,2013-11-02 09:48:44
22,23,59,2013-11-02 09:49:45
22,23,58,2013-11-02 09:50:46
22,23,58,2013-11-02 09:51:47
22,23,58,2013-11-02 09:52:47
22,23,58,2013-11-02 09:53:48
22,23,59,2013-11-02 09:54:49
22,23,58,2013-11-02 09:55:50
22,23,58,2013-11-02 09:56:51
22,23,59,2013-11-02 09:57:52
22,23,59,2013-11-02 09:58:53
22,23,58,2013-11-02 09:59:54
22,23,58,2013-11-02 10:00:55
22,23,58,2013-11-02 10:01:55
22,23,58,2013-11-02 10:02:56
22,23,58,2013-11-02 10:03:57
22,23,58,2013-11-02 10:04:58
22,23,59,2013-11-02 10:05:59
22,23,58,2013-11-02 10:07:00
22,23,58,2013-11-02 10:08:01
22,23,58,2013-11-02 10:09:02
22,23,58,2013-11-02 10:10:03
22,23,58,2013-11-02 10:11:04
22,23,58,2013-11-02 10:12:04
22,23,59,2013-11-02 10:13:05
22,23,58,2013-11-02 10:14:06
22,22,59,2013-11-02 10:15:07
22,23,58,2013-11-02 10:16:08
22.0625,23,58,2013-11-02 10:17:09
22.0625,22,59,2013-11-02 10:18:10
22.0625,23,58,2013-11-02 10:19:11
22.0625,23,58,2013-11-02 10:20:12
22.0625,23,58,2013-11-02 10:21:13
22.0625,23,58,2013-11-02 10:22:13
22.0625,23,58,2013-11-02 10:23:14
22.0625,23,58,2013-11-02 10:24:15
22.0625,23,58,2013-11-02 10:25:16
22.0625,23,58,2013-11-02 10:26:17
22.0625,23,59,2013-11-02 10:27:18
22.0625,23,59,2013-11-02 10:28:19
22.0625,23,58,2013-11-02 10:29:20
22.0625,23,58,2013-11-02 10:30:21
22.0625,23,58,2013-11-02 10:31:21
22.0625,23,58,2013-11-02 10:32:22
22.0625,23,58,2013-11-02 10:33:23
22.0625,23,58,2013-11-02 10:34:24
22.125,23,58,2013-11-02 10:35:25
22.0625,23,58,2013-11-02 10:36:26
22.0625,23,58,2013-11-02 10:37:27
22.0625,23,58,2013-11-02 10:38:28
22.125,23,58,2013-11-02 10:39:29
22.125,23,58,2013-11-02 10:40:29
22.125,23,58,2013-11-02 10:41:30
22.125,22,59,2013-11-02 10:42:31
22.125,22,59,2013-11-02 10:43:32
22.125,23,59,2013-11-02 10:44:33
22.125,23,58,2013-11-02 10:45:34
22.125,23,58,2013-11-02 10:46:35
22.125,22,59,2013-11-02 10:47:36
22.125,23,58,2013-11-02 10:48:37
22.125,23,58,2013-11-02 10:49:38
22.125,23,58,2013-11-02 10:50:38
22.125,23,58,2013-11-02 10:51:39
22.125,23,58,2013-11-02 10:52:40
22.125,23,58,2013-11-02 10:53:41
22.125,23,59,2013-11-02 10:54:42
22.1875,23,58,2013-11-02 10:55:43
22.1875,24,59,2013-11-02 10:56:44
22.1875,22,59,2013-11-02 10:57:45
22.1875,23,58,2013-11-02 10:58:46
22.1875,23,58,2013-11-02 10:59:46
22.1875,23,58,2013-11-02 11:00:47
22.1875,23,58,2013-11-02 11:01:48
22.1875,23,58,2013-11-02 11:02:49
22.1875,23,58,2013-11-02 11:03:50
22.1875,22,59,2013-11-02 11:04:51
22.1875,23,58,2013-11-02 11:05:52
22.1875,23,58,2013-11-02 11:06:53
22.1875,23,58,2013-11-02 11:07:54
22.1875,23,58,2013-11-02 11:08:55
22.1875,23,58,2013-11-02 11:09:55
22.1875,22,59,2013-11-02 11:10:56
22.1875,23,58,2013-11-02 11:11:57
22.25,22,59,2013-11-02 11:12:58
22.1875,23,57,2013-11-02 11:13:59
22.1875,23,58,2013-11-02 11:15:00
22.1875,23,58,2013-11-02 11:16:01
22.125,22,59,2013-11-02 11:17:02
22.125,23,57,2013-11-02 11:18:03
22.125,23,57,2013-11-02 11:19:03
22.125,23,57,2013-11-02 11:20:04
22.125,23,58,2013-11-02 11:21:05
22.125,22,58,2013-11-02 11:22:06
22.125,23,57,2013-11-02 11:23:07
22.125,22,59,2013-11-02 11:24:08
22.1875,23,58,2013-11-02 11:25:09
22.1875,23,58,2013-11-02 11:26:10
22.1875,23,58,2013-11-02 11:27:11
22.1875,23,58,2013-11-02 11:28:12
22.1875,23,58,2013-11-02 11:29:12
22.25,22,59,2013-11-02 11:30:13
22.25,23,58,2013-11-02 11:31:14
22.25,23,58,2013-11-02 11:32:15
22.25,23,59,2013-11-02 11:33:16
22.25,23,58,2013-11-02 11:34:17
22.25,23,58,2013-11-02 11:35:18
22.25,23,58,2013-11-02 11:36:19
22.25,23,58,2013-11-02 11:37:20
22.25,23,58,2013-11-02 11:38:21
22.25,23,58,2013-11-02 11:39:21
22.25,23,58,2013-11-02 11:40:22
22.25,24,58,2013-11-02 11:41:23
22.3125,23,58,2013-11-02 11:42:24
22.25,23,58,2013-11-02 11:43:25
22.25,23,58,2013-11-02 11:44:26
22.25,23,58,2013-11-02 11:45:27
22.25,23,58,2013-11-02 11:46:28
22.25,23,58,2013-11-02 11:47:29
22.3125,23,58,2013-11-02 11:48:29
22.25,23,58,2013-11-02 11:49:30
22.3125,23,59,2013-11-02 11:50:31
22.3125,23,58,2013-11-02 11:51:32
22.25,23,58,2013-11-02 11:52:33
22.25,23,58,2013-11-02 11:53:34
22.3125,22,59,2013-11-02 11:54:35
22.25,23,58,2013-11-02 11:55:36
22.1875,22,58,2013-11-02 11:56:37
22.1875,23,57,2013-11-02 11:57:38
22.125,22,58,2013-11-02 11:58:38
22.125,23,57,2013-11-02 11:59:39
22.125,23,57,2013-11-02 12:00:40
22.0625,23,57,2013-11-02 12:01:41
22.125,22,58,2013-11-02 12:02:42
22.125,22,58,2013-11-02 12:03:43
22.0625,23,56,2013-11-02 12:04:44
22.0625,23,56,2013-11-02 12:05:45
22,22,57,2013-11-02 12:06:46
22,22,58,2013-11-02 12:07:47
22,22,57,2013-11-02 12:08:47
22,22,57,2013-11-02 12:09:48
22,22,57,2013-11-02 12:10:49
22,22,57,2013-11-02 12:11:50
22,22,57,2013-11-02 12:12:51
22,22,57,2013-11-02 12:13:52
22,22,57,2013-11-02 12:14:53
22,23,56,2013-11-02 12:15:54
21.9375,22,57,2013-11-02 12:16:55
22,22,57,2013-11-02 12:17:55
22,22,57,2013-11-02 12:18:56
22,22,58,2013-11-02 12:19:57
22,23,56,2013-11-02 12:20:58
22,22,58,2013-11-02 12:21:59
22,23,57,2013-11-02 12:23:00
22.0625,22,58,2013-11-02 12:24:01
22,22,58,2013-11-02 12:25:02
22.0625,22,59,2013-11-02 12:26:03
22,22,57,2013-11-02 12:27:04
22.0625,23,56,2013-11-02 12:28:04
22.0625,23,57,2013-11-02 12:29:05
22.0625,22,58,2013-11-02 12:30:06
22.0625,22,58,2013-11-02 12:31:07
22.0625,22,57,2013-11-02 12:32:08
22.0625,23,56,2013-11-02 12:33:09
22.125,22,57,2013-11-02 12:34:10
22.125,23,56,2013-11-02 12:35:11
22.125,22,57,2013-11-02 12:36:12
22.125,23,56,2013-11-02 12:37:12
22.125,22,58,2013-11-02 12:38:13
22.125,22,57,2013-11-02 12:39:14
22.125,22,58,2013-11-02 12:40:15
22.1875,23,56,2013-11-02 12:41:16
22.1875,23,57,2013-11-02 12:42:17
